frame,tempo_s,rx_rad,ry_rad,rz_rad,tx_m,ty_m,tz_m,reproj_rms_px,jitter_px
64,2.1333,0.28272,0.04329,-0.11824,-0.08573,-0.10031,0.52016,0.0465,0.2273
65,2.1667,0.2736,0.04094,-0.12519,-0.08881,-0.10116,0.52015,0.0433,0.2441
66,2.2,0.26403,0.03851,-0.13184,-0.09194,-0.10195,0.52032,0.0439,0.192
67,2.2333,0.25413,0.03675,-0.1383,-0.09513,-0.10266,0.52077,0.0449,0.2408
68,2.2667,0.24424,0.03447,-0.14453,-0.09835,-0.10327,0.52132,0.0401,0.228
69,2.3,0.23426,0.03222,-0.15061,-0.10162,-0.10379,0.52206,0.0425,0.2587
70,2.3333,0.22342,0.03037,-0.15625,-0.10492,-0.10425,0.52305,0.0433,0.1845
71,2.3667,0.21421,0.02759,-0.16186,-0.10824,-0.10458,0.52403,0.0408,0.307
72,2.4,0.20384,0.02574,-0.16707,-0.11159,-0.10485,0.52532,0.0446,0.1959
73,2.4333,0.19334,0.02331,-0.17201,-0.11495,-0.10503,0.52674,0.0354,0.2432
74,2.4667,0.18296,0.0209,-0.17666,-0.11832,-0.10513,0.52833,0.0433,0.2407
75,2.5,0.17275,0.01909,-0.18102,-0.12169,-0.10513,0.53011,0.0418,0.2582
76,2.5333,0.16239,0.01671,-0.18511,-0.12507,-0.10504,0.53203,0.0393,0.247
77,2.5667,0.15204,0.01398,-0.1889,-0.12843,-0.10486,0.53405,0.0438,0.2285
78,2.6,0.14135,0.01147,-0.19237,-0.13177,-0.10459,0.53627,0.0383,0.2571
79,2.6333,0.13026,0.00938,-0.19553,-0.1351,-0.10425,0.53873,0.0414,0.2489
80,2.6667,0.11986,0.00692,-0.19837,-0.1384,-0.10381,0.54125,0.0387,0.2568
81,2.7,0.11021,0.00459,-0.20088,-0.14167,-0.10328,0.5439,0.0379,0.2631
82,2.7333,0.09954,0.00136,-0.20308,-0.14489,-0.10266,0.54667,0.0408,0.2524
83,2.7667,0.08935,-0.00185,-0.20498,-0.14807,-0.10197,0.54956,0.0371,0.2507
84,2.8,0.07894,-0.0045,-0.20651,-0.1512,-0.10118,0.55266,0.0445,0.2712
85,2.8333,0.06986,-0.00702,-0.2076,-0.15428,-0.10034,0.55583,0.0417,0.2449
86,2.8667,0.06068,-0.01008,-0.20847,-0.1573,-0.09938,0.55909,0.0457,0.2554
87,2.9,0.05061,-0.013,-0.20898,-0.16026,-0.09836,0.56253,0.0425,0.2565
88,2.9333,0.04105,-0.01656,-0.20915,-0.16313,-0.09726,0.56597,0.0457,0.2392
89,2.9667,0.03237,-0.01973,-0.20897,-0.16593,-0.09609,0.5696,0.041,0.2786
90,3.0,0.02373,-0.02302,-0.20846,-0.16866,-0.09485,0.57334,0.0444,0.2551
91,3.0333,0.01574,-0.02659,-0.20755,-0.17129,-0.09354,0.57705,0.0442,0.2118
92,3.0667,0.00726,-0.0301,-0.20639,-0.17383,-0.09215,0.5809,0.0452,0.2524
93,3.1,-0.0011,-0.03421,-0.20488,-0.17628,-0.09069,0.58479,0.0403,0.2394
94,3.1333,-0.00856,-0.03821,-0.20296,-0.17862,-0.08918,0.58876,0.046,0.2523
95,3.1667,-0.01549,-0.04214,-0.20072,-0.18086,-0.08761,0.59276,0.0461,0.2152
96,3.2,-0.02222,-0.04623,-0.19816,-0.183,-0.08598,0.59683,0.0413,0.2344
97,3.2333,-0.02856,-0.05033,-0.19527,-0.18503,-0.0843,0.60102,0.0419,0.2528
98,3.2667,-0.03553,-0.05434,-0.19202,-0.18693,-0.08256,0.60518,0.0396,0.1979
99,3.3,-0.04154,-0.05883,-0.18846,-0.18872,-0.08077,0.60939,0.0412,0.2316
100,3.3333,-0.0471,-0.06337,-0.18459,-0.19039,-0.07894,0.6136,0.0397,0.2147
101,3.3667,-0.05235,-0.06881,-0.18046,-0.19193,-0.07707,0.61777,0.0419,0.2086
102,3.4,-0.05674,-0.07337,-0.17594,-0.19335,-0.07516,0.62204,0.0363,0.213
103,3.4333,-0.06045,-0.0781,-0.17117,-0.19463,-0.0732,0.62627,0.0462,0.1998
104,3.4667,-0.06382,-0.08353,-0.16607,-0.19577,-0.07123,0.63042,0.045,0.1971
105,3.5,-0.06713,-0.08856,-0.16078,-0.19679,-0.06921,0.63463,0.0387,0.1921
106,3.5333,-0.06941,-0.09451,-0.15508,-0.19766,-0.06718,0.6387,0.04,0.1838
107,3.5667,-0.07278,-0.09999,-0.14927,-0.19841,-0.06511,0.64286,0.0451,0.2045
108,3.6,-0.07389,-0.10631,-0.14305,-0.199,-0.06305,0.64681,0.0409,0.1631
109,3.6333,-0.07601,-0.11202,-0.13667,-0.19946,-0.06095,0.65089,0.0439,0.2067
110,3.6667,-0.07716,-0.11709,-0.12989,-0.19979,-0.05886,0.65497,0.0428,0.1659
111,3.7,-0.07774,-0.12297,-0.12291,-0.19996,-0.05676,0.65889,0.0426,0.1759
112,3.7333,-0.07752,-0.12925,-0.11576,-0.2,-0.05466,0.66271,0.042,0.1526
113,3.7667,-0.07698,-0.13461,-0.10836,-0.19989,-0.05255,0.6665,0.0417,0.1507
114,3.8,-0.07537,-0.14057,-0.10069,-0.19964,-0.05045,0.67019,0.0448,0.1641
115,3.8333,-0.07424,-0.14663,-0.09288,-0.19926,-0.04836,0.67387,0.0433,0.1768
116,3.8667,-0.07243,-0.15164,-0.08488,-0.19875,-0.04627,0.67748,0.0441,0.11
117,3.9,-0.06898,-0.1583,-0.0767,-0.19806,-0.0442,0.68079,0.0389,0.1709
118,3.9333,-0.06658,-0.16489,-0.06836,-0.19725,-0.04215,0.68407,0.0399,0.1572
119,3.9667,-0.06242,-0.17053,-0.05985,-0.19631,-0.04013,0.68727,0.0424,0.1077
120,4.0,-0.05828,-0.17829,-0.05107,-0.19519,-0.03815,0.69016,0.0501,0.1973
121,4.0333,-0.05284,-0.18441,-0.0421,-0.19395,-0.03619,0.69298,0.0503,0.093
122,4.0667,-0.04986,-0.18991,-0.03334,-0.19264,-0.03425,0.69603,0.0535,0.1664
123,4.1,-0.04313,-0.19646,-0.02416,-0.19114,-0.03236,0.69863,0.075,0.1406
124,4.1333,-0.03862,-0.20022,-0.0152,-0.18961,-0.03049,0.7015,0.0812,0.1157
125,4.1667,-0.03261,-0.20748,-0.0061,-0.18786,-0.02868,0.70368,0.0778,0.1756
126,4.2,-0.02624,-0.21392,0.00339,-0.18601,-0.02693,0.70598,0.0785,0.1559
127,4.2333,-0.01856,-0.21893,0.01279,-0.18405,-0.0252,0.70808,0.0832,0.0602
128,4.2667,-0.01113,-0.22542,0.0221,-0.18196,-0.02354,0.71002,0.0754,0.1832
129,4.3,-0.00586,-0.23067,0.03151,-0.1798,-0.02198,0.71205,0.0576,0.2008
130,4.3333,0.00594,-0.23772,0.04111,-0.17742,-0.02039,0.71308,0.0699,0.1315
131,4.3667,0.01293,-0.24288,0.05058,-0.17506,-0.01892,0.71481,0.0606,0.2823
132,4.4,0.02123,-0.2477,0.0599,-0.17261,-0.0175,0.71626,0.0485,0.0663
133,4.4333,0.03062,-0.25382,0.06932,-0.16999,-0.01615,0.71721,0.0477,0.1483
134,4.4667,0.0396,-0.25864,0.07868,-0.16733,-0.01488,0.71826,0.0465,0.1151
135,4.5,0.04934,-0.26431,0.08795,-0.16457,-0.01366,0.719,0.0454,0.1115
136,4.5333,0.05977,-0.26919,0.09723,-0.16173,-0.01252,0.71959,0.0419,0.1062
137,4.5667,0.07022,-0.27427,0.1064,-0.1588,-0.01146,0.71995,0.0431,0.1367
138,4.6,0.08073,-0.27929,0.11547,-0.15581,-0.01047,0.72016,0.0452,0.1167
139,4.6333,0.09111,-0.28425,0.12445,-0.15275,-0.00958,0.72022,0.041,0.145
140,4.6667,0.10202,-0.28873,0.13318,-0.14966,-0.00874,0.72013,0.0423,0.0785
141,4.7,0.11331,-0.29362,0.14186,-0.14648,-0.00801,0.71973,0.0426,0.1423
142,4.7333,0.12412,-0.29749,0.1503,-0.14332,-0.00735,0.71942,0.039,0.1312
143,4.7667,0.13497,-0.30226,0.15859,-0.14005,-0.00678,0.7187,0.0379,0.133
144,4.8,0.14645,-0.30661,0.16671,-0.13676,-0.0063,0.71785,0.0383,0.1121
145,4.8333,0.15812,-0.31054,0.17465,-0.13345,-0.00589,0.71684,0.0449,0.1147
146,4.8667,0.169,-0.31464,0.18239,-0.13012,-0.00559,0.71579,0.0436,0.1603
147,4.9,0.18069,-0.31841,0.18986,-0.12675,-0.00537,0.71433,0.0438,0.1165
148,4.9333,0.19193,-0.32253,0.19701,-0.12339,-0.00522,0.71286,0.0414,0.1276
149,4.9667,0.20305,-0.32626,0.20395,-0.12002,-0.00519,0.71122,0.0393,0.1562
